SampleID	CPER_001-M-20131024
Botryococcus	6
Botryosphaeria	1
Botryotinia	741
Bougainvillea	2
Bouteloua	13
Bowenia	1
Bowmanella	2
Bpp-1-like viruses	24
Brachidontes	1
Brachionus	11
Brachybacterium	3231
Brachycaudonia	1
Brachycodilla	1
Brachymonas	13
Brachypodium	10
Brachyspira	1350
Brachythecium	1
Bradyrhizobium	151133
Branchiostoma	1059
Brassica	77
Bremia	1
Brenneria	2
Brettanomyces	1
Brevibacillus	6226
Brevibacterium	4736
Brevundimonas	7291
Brexia	1
Brimeura	1
Brissopsis	1
Brochothrix	2
Bromus	1
Brucella	8868
Brugia	200
Bruinsmia	1
Bryonia	5
Bryopsis	1
Buchnera	433
Bufo	1
Bugula	1
Bulleidia	119
Bulnesia	1
Bumilleriopsis	1
Burkholderia	108657
Bursaphelenchus	1
Buttiauxella	1
Butyrivibrio	833
Buxus	1
Byssochlamys	1
Byssothecium	1
Cadophora	1
Caedibacter	1
Caenorhabditis	1473
Cafeteria	1
Calathea	1
Caldanaerobacter	6320
Caldibacillus	11
Caldicellulosiruptor	5680
Caldimonas	2
Calditerrivibrio	1673
Caldivirga	495
Caldococcus	1
Caligus	28
Callicebus	2
Callinectes	2
Calliphora	1
Callithamnion	2
Callithrix	65
Calomys	1
Caloramator	1
Calotes	1
Calothrix	69
Calycanthus	2
Calycobolus	1
Calypogeia	1
Calystegia	1
Camarops	1
Cambarincola	1
Camellia	6
Caminibacter	268
Campodea	1
Camponotus	134
Camptotheca	2
Campylobacter	2577
Canavalia	2
Candida	188
Candidatus Accumulibacter	7214
Candidatus Amoebophilus	1066
Candidatus Azobacteroides	183
Candidatus Blochmannia	167
Candidatus Caldiarchaeum	67
Candidatus Cardinium	2
Candidatus Carsonella	2
Candidatus Chloracidobacterium	21
Candidatus Cloacamonas	683
Candidatus Desulforudis	4642
Candidatus Endobugula	17
Candidatus Fritschea	14
Candidatus Hamiltonella	162
Candidatus Hodgkinia	3
Candidatus Korarchaeum	691
Candidatus Koribacter	110997
Candidatus Kuenenia	5376
Candidatus Liberibacter	143
Candidatus Magnetobacterium	28
Candidatus Micrarchaeum	123
Candidatus Nicolleia	1
Candidatus Nitrosocaldus	1
Candidatus Odyssella	93
Candidatus Parvarchaeum	99
Candidatus Pelagibacter	2074
Candidatus Phytoplasma	72
Candidatus Portiera	2
Candidatus Protochlamydia	2345
Candidatus Puniceispirillum	2416
Candidatus Regiella	106
Candidatus Riesia	13
Candidatus Solibacter	217732
Candidatus Sulcia	95
Candidatus Tremblaya	2
Candidatus Zinderia	5
Canis	506
Canistrocarpus	1
Capnocytophaga	1850
Capnodium	3
Capra	2
Capronia	3
Capsaspora	498
Capsella	2
Capsicum	14
Carabus	2
Carassius	6
Carboxydothermus	7311
Carcinoscorpius	2
Cardiobacterium	725
Cardiochlamys	1
Carica	3
Carnobacterium	265
Carthamus	1
Carukia	2
Caryophyllia	1
Castellaniella	18
Catathelasma	1
Catenibacterium	310
Catenulispora	30024
Catenuloplanes	3
Catharanthus	9
Catonella	225
Caulerpa	2
Caulimovirus	1
Caulobacter	36756
Cavia	20
Cedecea	1
Cellana	1
Cellulomonas	7882
Cellulophaga	1842
Cellulosilyticum	640
Cellulosimicrobium	20
Cellvibrio	4578
Celosia	22
Cenarchaeum	2611
Cenchrus	1
Cephalotaxus	1
Cephonodes	1
Ceraeochrysa	1
Ceramothyrium	1
Ceratitis	7
Ceratocystis	6
Ceratodon	1
Ceratophyllum	1
Ceratopteris	1
Ceratosolen	1
Ceratozamia	1
Cerberus	1
Cercomonas	8
Cercospora	4
Chaenocephalus	1
Chaetodipus	1
Chaetomium	933
Chaetopeltis	1
Chaetosphaeridium	17
Chalcura	1
Chamaecyparis	3
Chamaepetes	2
Chamaesiphon	5
Chara	20
Chasmanthium	5
Chattonella	5
Cheilanthes	1
Chelativorans	18206
Chelatococcus	1
Chelidonium	3
Chelonobacter	1
Chelonus	1
Chenopodium	1
Childia	1
Chiloscyllium	1
Chinchilla	1
Chironex	1
Chironomus	2
Chiroteuthis	1
Chitinophaga	34666
Chlamydia	1202
Chlamydomonas	754
Chlamydophila	379
Chlamys	1
Chloranthus	5
Chlorarachnion	2
Chlorella	674
Chloriridovirus	1
Chlorobaculum	5969
Chlorobium	14287
Chloroflexus	24112
Chlorogloeopsis	6
Chloroherpeton	6150
Chlorokybus	26
Chlorophyllum	1
Chlorovirus	49
Chondromyces	13
Chondrus	13
Chorda	2
Chorispora	1
Chromera	1
Chromobacterium	6817
Chromohalobacter	4748
Chroococcidiopsis	3
Chryseobacterium	2559
Chrysodidymus	3
Chrysolepidomonas	1
Chrysomela	1
Chthoniobacter	62929
Cicer	6
Ciona	913
Cistus	1
Citreicella	2034
Citrobacter	1638
Citromicrobium	3290
Citrullus	3
Citrus	8
Cladonia	1
Cladophialophora	2
Cladosporium	10
Cladostigma	1
Clarias	1
Clathrus	1
Clavaria	1
Clavascidium	1
Clavibacter	9852
Claviceps	1
Clavispora	82
Cleome	5
Cliftonia	1
Clitopilus	3
Clonorchis	1
Closterium	2
Clostridium	31608
Clusia	1
Coboldia	2
Coccidioides	238
Coccolithovirus	1
Coccomyxa	10
Cochliobolus	22
Cocos	1
Codiaeum	1
Coelomomyces	1
Coelophrys	2
Coffea	6
Cohnella	7
Coix	32
Coleochaete	4
Colletotrichum	3
Collimonas	115
Collinsella	1301
Coluber	1
Columnea	1
Colwellia	2327
Comamonas	4960
Conchopterella	1
Condylostoma	1
Conexibacter	110518
Congregibacter	5631
Conidiobolus	63
Coniochaeta	1
Conocephalum	1
Consolida	3
Convolvulus	1
Copera	2
Coprinellus	3
Coprinopsis	501
Coprinus	2
Coprobacillus	306
Coprococcus	702
Coprothermobacter	1228
Coptis	2
Coptotermes	32
Coraciacarus	1
Coraliomargarita	4444
Corallina	15
Corallochytrium	3
Corallococcus	31
Corallomyxa	1
Corchorus	2
Cordisepalum	1
Cordyceps	16
Coriaria	1
Cortaderia	7
Cortinarius	1
Corynebacterium	17555
Corynocarpus	1
Coturnix	3
Couchioplanes	7
Coxiella	2986
Crassostrea	6
Crassula	3
Craterostigma	10
Cressa	1
Cricetulus	7
Cristaria	1
Crithidia	3
Croceibacter	2031
Crocicreas	1
Crocosphaera	2124
Crocus	2
Cronobacter	1683
Crotalus	2
Crucihimalaya	1
Cryobacterium	2
Cryphonectria	10
Crypthecodinium	1
Cryptobacterium	829
Cryptobia	1
Cryptocarya	11
Cryptocellus	1
Cryptocercus	1
Cryptococcus	5
Cryptomeria	5
