SampleID	CPER_002-M-20130701
Abida	1
Abies	1
Abiotrophia	388
Abrodictyum	1
Absidia	1
Acanthamoeba	53
Acanthocardia	17
Acanthocyclops	1
Acanthopagrus	1
Acanthoscurria	3
Acaryochloris	8720
Acaulospora	1
Acetabularia	10
Acetivibrio	1530
Acetobacter	2176
Acetobacterium	9
Acetohalobium	2310
Achatina	1
Achnanthes	1
Acholeplasma	245
Achromobacter	15239
Acidaminococcus	2015
Acidianus	6
Acidilobus	353
Acidimicrobium	18832
Acidiphilium	13732
Acidithiobacillus	6231
Acidithiomicrobium	39
Acidobacterium	40331
Acidocella	2
Acidomonas	3
Acidothermus	58559
Acidovorax	19642
Aciduliprofundum	707
Acinetobacter	5652
Acipenser	1
Acorus	1
Acrasis	1
Acremonium	3
Acrobeloides	5
Acrochaete	1
Acrochordus	1
Acropora	1
Acrospermum	1
Acrostichus	1
Actias	1
Actinidia	1
Actinoallomurus	6
Actinobacillus	1380
Actinobaculum	18
Actinocorallia	8
Actinokineospora	15
Actinomadura	396
Actinomyces	11266
Actinoplanes	1481
Actinopolyspora	1
Actinosynnema	51980
Actinotalea	9
Actinote	1
Acyrthosiphon	196
Adiantum	14
Adineta	34
Advenella	4
Aedes	616
Aegilops	10
Aeribacillus	1
Aerococcus	332
Aeromicrobium	8329
Aeromonas	3978
Aeropyrum	1475
Afifella	11
Afipia	9467
Agaricus	19
Agarivorans	1
Agathiphaga	1
Agathis	1
Aggregatibacter	564
Agonimia	1
Agrobacterium	20291
Agrococcus	1
Agrocybe	1
Agromyces	19
Agropyron	1
Agrostis	2
Agrotis	2
Ahrensia	1656
Ailuropoda	219
Ajellomyces	2884
Akkermansia	10603
Albidiferax	9778
Alcaligenes	58
Alcanivorax	3502
Aleurochiton	1
Alexandrium	2
Algoriphagus	4290
Alicycliphilus	3919
Alicyclobacillus	10179
Aliivibrio	906
Aliquandostipite	2
Alistipes	1716
Alkalilimnicola	6633
Alkalimonas	3
Alkaliphilus	6803
Alligator	1
Allium	4
Allochromatium	4337
Allomyces	11
Alnus	5
Alphabaculovirus	5
Alphalipothrixvirus	4
Alpheus	1
Alternanthera	1
Alternaria	19
Alteromonas	1996
Alvinella	1
Alyxoria	1
Amanita	2
Amaranthus	7
Amasonia	1
Amblyomma	4
Amborella	1
Ambystoma	3
Amia	5
Aminobacter	24
Aminobacterium	1517
Aminomonas	1680
Amiota	1
Ammi	1
Ammonifex	6464
Ammopiptanthus	5
Amphibacillus	1
Amphidinium	5
Amphiprion	2
Amphithyrus	1
Amycolatopsis	79371
Amylomyces	1
Anabaena	24919
Anacampsis	1
Anaerobaculum	2504
Anaerobranca	2
Anaerococcus	912
Anaerofustis	372
Anaerolinea	12535
Anaeromyxobacter	81372
Anaerostipes	460
Anaerotruncus	1183
Ananas	1
Anaplasma	754
Anapochrysa	1
Anaptychia	1
Anas	4
Ancylobacter	5
Androctonus	1
Andropogon	1
Androsace	1
Aneura	2
Aneurinibacillus	28
Angiopteris	9
Anguilla	3
Annona	1
Anodonthyla	1
Anomochloa	1
Anopheles	636
Anophryoides	1
Anoplopoma	12
Anoxybacillus	3045
Anser	3
Antheraea	1
Anthoceros	20
Anthopleura	3
Anticarsia	3
Antipaluria	1
Antirrhinum	2
Antonospora	2
Apalocnemis	1
Aphanarthrum	1
Aphanizomenon	56
Aphanomyces	1
Aphanothece	4
Aphelenchus	2
Apis	300
Apium	1
Aplysia	3
Apolpium	1
