"sample_name","sampleID_16S","dataType"
"TALL_001-M-20140516","TALL.001.23.M.29.02.20140516","16S"
"TALL_001-M-20140516","TALL.001.21.M.7.5.20140516","16S"
"TALL_001-M-20140516","TALL.001.21.M.9.17.20140516","16S"
"TALL_001-M-20140516","Composite","MG"
"TALL_001-M-20140708","TALL.001.41.M.22.32.20140708","16S"
"TALL_001-M-20140708","TALL.001.41.M.30.37.20140708","16S"
"TALL_001-M-20140708","TALL.001.21.M.7.0.20140708","16S"
"TALL_001-M-20140708","Composite","MG"
"TALL_001-O-20140516","TALL.001.39.O.17.34.20140516","16S"
"TALL_001-O-20140516","TALL.001.23.O.26.03.20140516","16S"
"TALL_001-O-20140516","TALL.001.23.O.29.02.20140516","16S"
"TALL_001-O-20140516","Composite","MG"
"TALL_001-O-20140708","TALL.001.41.O.22.32.20140708","16S"
"TALL_001-O-20140708","TALL.001.41.O.30.37.20140708","16S"
"TALL_001-O-20140708","TALL.001.21.O.7.0.20140708","16S"
"TALL_001-O-20140708","Composite","MG"
"TALL_002-M-20140708","TALL.002.39.M.10.34.20140708","16S"
"TALL_002-M-20140708","TALL.002.23.M.25.6.20140708","16S"
"TALL_002-M-20140708","TALL.002.21.M.9.4.20140708","16S"
"TALL_002-M-20140708","Composite","MG"
"TALL_002-O-20140708","TALL.002.39.O.10.34.20140708","16S"
"TALL_002-O-20140708",NA,"MG"
"TALL_004-M-20140708","TALL.004.21.M.14.17.20140708","16S"
"TALL_004-M-20140708","TALL.004.21.M.24.15.20140708","16S"
"TALL_004-M-20140708","TALL.004.23.M.33.11.20140708","16S"
"TALL_004-M-20140708","Composite","MG"
"TALL_004-M-20140708","TALL.004.21.M.14.17.20140708","16S"
"TALL_004-M-20140708","TALL.004.21.M.24.15.20140708","16S"
"TALL_004-M-20140708","TALL.004.23.M.33.11.20140708","16S"
"TALL_004-M-20140708",NA,"MG"
"TALL_006-M-20140707","TALL.006.39.M.0.30.20140707","16S"
"TALL_006-M-20140707","TALL.006.21.M.16.7.20140707","16S"
"TALL_006-M-20140707","TALL.006.41.M.23.38.20140707","16S"
"TALL_006-M-20140707","Composite","MG"
"TALL_006-O-20140707","TALL.006.39.O.0.30.20140707","16S"
"TALL_006-O-20140707","TALL.006.21.O.16.7.20140707","16S"
"TALL_006-O-20140707","Composite","MG"
"WOOD_001-M-20140507","WOOD.001.21.M.12.7.20140507","16S"
"WOOD_001-M-20140507","WOOD.001.41.M.35.24.20140507","16S"
"WOOD_001-M-20140507","WOOD.001.39.M.5.26.20140507","16S"
"WOOD_001-M-20140507","Composite","MG"
"WOOD_001-M-20140702","WOOD.001.39.M.10.34.20140702","16S"
"WOOD_001-M-20140702","WOOD.001.23.M.25.6.20140702","16S"
"WOOD_001-M-20140702","WOOD.001.21.M.9.4.20140702","16S"
"WOOD_001-M-20140702","Composite","MG"
"WOOD_001-M-20140925","WOOD.001.39.M.2.21.20140925","16S"
"WOOD_001-M-20140925","WOOD.001.23.M.33.6.20140925","16S"
"WOOD_001-M-20140925","WOOD.001.23.M.39.5.20140925","16S"
"WOOD_001-M-20140925","Composite","MG"
"WOOD_002-M-20140507","WOOD.002.21.M.17.9.20140507","16S"
"WOOD_002-M-20140507","WOOD.002.41.M.29.37.20140507","16S"
"WOOD_002-M-20140507","WOOD.002.21.M.9.11.20140507","16S"
"WOOD_002-M-20140507","Composite","MG"
"WOOD_002-M-20140702","WOOD.002.21.M.15.7.20140702","16S"
"WOOD_002-M-20140702","WOOD.002.23.M.33.11.20140702","16S"
"WOOD_002-M-20140702","WOOD.002.21.M.4.7.20140702","16S"
"WOOD_002-M-20140702","Composite","MG"
"WOOD_002-M-20140925","WOOD.002.21.M.14.5.20140925","16S"
"WOOD_002-M-20140925","WOOD.002.39.M.2.38.20140925","16S"
"WOOD_002-M-20140925","WOOD.002.41.M.26.38.20140925","16S"
"WOOD_002-M-20140925","Composite","MG"
"WOOD_003-M-20140507","WOOD.003.39.M.15.33.20140507","16S"
"WOOD_003-M-20140507","WOOD.003.41.M.21.39.20140507","16S"
"WOOD_003-M-20140507","WOOD.003.39.M.2.33.20140507","16S"
"WOOD_003-M-20140507","Composite","MG"
"WOOD_003-M-20140702","WOOD.003.39.M.0.30.20140702","16S"
"WOOD_003-M-20140702","WOOD.003.21.M.16.7.20140702","16S"
"WOOD_003-M-20140702","WOOD.003.41.M.23.38.20140702","16S"
"WOOD_003-M-20140702","Composite","MG"
"WOOD_003-M-20140925","WOOD.003.41.M.24.31.20140925","16S"
"WOOD_003-M-20140925","WOOD.003.41.M.39.27.20140925","16S"
"WOOD_003-M-20140925","WOOD.003.21.M.7.0.20140925","16S"
"WOOD_003-M-20140925","Composite","MG"
