# http://api.metagenomics.anl.gov/1/matrix/organism?id=mgm4664888.3&group_level=species&source=RefSeq&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Acinetobacter pittii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter pittii	232	
Acinetobacter radioresistens	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens	347	
Acinetobacter sp. ADP1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. ADP1	2154	
Acinetobacter sp. ATCC 27244	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. ATCC 27244	134	
Acinetobacter sp. NBRC 100985	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. NBRC 100985	4	
Acinetobacter sp. P8-3-8	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. P8-3-8	2	
Acinetobacter venetianus	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter venetianus	1	
Acmaeodera sp. NCS-2009	Eukaryota;Arthropoda;Insecta;Coleoptera;Buprestidae;Acmaeodera;Acmaeodera sp. NCS-2009	1	
Acorus americanus	Eukaryota;Streptophyta;Liliopsida;Acorales;Acoraceae;Acorus;Acorus americanus	1	
Acorus calamus	Eukaryota;Streptophyta;Liliopsida;Acorales;Acoraceae;Acorus;Acorus calamus	1	
Acropora tenuis	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;Acropora tenuis	2	
Actinobacillus minor	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus minor	193	
Actinobacillus pleuropneumoniae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus pleuropneumoniae	798	
Actinobacillus succinogenes	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus succinogenes	686	
Actinobacillus ureae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus ureae	49	
Actinomyces coleocanis	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces coleocanis	191	
Actinomyces odontolyticus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus	432	
Actinomyces oris	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris	15	
Actinomyces sp. oral taxon 170	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 170	1	
