"","metagenomeID","sampleType","Evenness","mgrastID","sampleID","Event_name","siteID","plotID"
"5","CPER.003.SW.Mineral.3.10.20130701.join","Individual",0.815488871024422,"mgm4664889.3","CPER_003-M-3-10-20130701","CPER_003-M-20130701","CPER","CPER_003"
"17","CPER_003.XX.Mineral.xx_xx.20130701.join","Composite",0.815859919303965,"mgm4637823.3","CPER_003-M-20130701-C","CPER_003-M-20130701","CPER","CPER_003"
"16","CPER_003.NW.Mineral.7_21.20140116.join","Individual",0.816160182855731,"mgm4637822.3","CPER_003-M-7-21-20140116","CPER_003-M-20140116","CPER","CPER_003"
"18","CPER_003.XX.Mineral.xx_xx.20140116.join","Composite",0.815412127541698,"mgm4637824.3","CPER_003-M-20140116-C","CPER_003-M-20140116","CPER","CPER_003"
"15","CPER_003.23.Mineral.35_15.20140415.join","Individual",0.816036959947964,"mgm4637821.3","CPER_003-M-35-15-20140415","CPER_003-M-20140415","CPER","CPER_003"
"19","CPER_003.xx.Mineral.xx_xx.20140415.join","Composite",0.817072766432413,"mgm4637825.3","CPER_003-M-20140415-C","CPER_003-M-20140415","CPER","CPER_003"
"6","CPER.004.NW.Mineral.5.35.20130701.join","Individual",0.81717226087046,"mgm4664890.3","CPER_004-M-5-35-20130701","CPER_004-M-20130701","CPER","CPER_004"
"21","CPER_004.XX.Mineral.xx_xx.20130701.join","Composite",0.815695971139082,"mgm4637828.3","CPER_004-M-20130701-C","CPER_004-M-20130701","CPER","CPER_004"
"20","CPER_004.SW.Mineral.10_5.20140117.join","Individual",0.816941076669495,"mgm4637827.3","CPER_004-M-10-5-20140117","CPER_004-M-20140117","CPER","CPER_004"
"22","CPER_004.XX.Mineral.xx_xx.20140117.join","Composite",0.815975173773709,"mgm4637829.3","CPER_004-M-20140117-C","CPER_004-M-20140117","CPER","CPER_004"
"35","DSNY_009.23.M.37.16.20140327.join","Individual",0.814667573817348,"mgm4637836.3","DSNY_009-M-37-16-20140327","DSNY_009-M-20140327","DSNY","DSNY_009"
"36","DSNY_009.xx.M.xx.xx.20140327.join","Composite",0.814652887640464,"mgm4637837.3","DSNY_009-M-20140327-C","DSNY_009-M-20140327","DSNY","DSNY_009"
"34","DSNY_009.23.M.33.14.20140409.join","Individual",0.814641533587974,"mgm4637835.3","DSNY_009-M-33-14-20140409","DSNY_009-M-20140409","DSNY","DSNY_009"
"37","DSNY_009.xx.M.xx.xx.20140409.join","Composite",0.814900997272858,"mgm4637838.3","DSNY_009-M-20140409-C","DSNY_009-M-20140409","DSNY","DSNY_009"
"33","DSNY_009.21.M.4.7.20140910.join","Individual",0.814976812995391,"mgm4637834.3","DSNY_009-M-4-7-20140910","DSNY_009-M-20140910","DSNY","DSNY_009"
"38","DSNY_009.xx.M.xx.xx.20140910.join","Composite",0.815229743556675,"mgm4637839.3","DSNY_009-M-20140910-C","DSNY_009-M-20140910","DSNY","DSNY_009"
