"","metagenomeID","sampleType","speciesRichness","mgrastID","sampleID","Event_name","siteID","plotID"
"46","DSNY_201.xx.M.xx.xx.20130731.join","Composite",2629,4637849.3,"DSNY_201-M-20130731-C","DSNY_201-M-20130731","DSNY","DSNY_201"
"26","DSNY.201.23.M.24.9.20131114.join","Individual",2513,4664865.3,"DSNY_201-M-24-9-20131114","DSNY_201-M-20131114","DSNY","DSNY_201"
"28","DSNY.201.xx.M.xx.x.20131114.join","Composite",2831,4664925.3,"DSNY_201-M-20131114-C","DSNY_201-M-20131114","DSNY","DSNY_201"
"29","DSNY.265.39.M.1.21.20130731.join","Individual",2534,4664910.3,"DSNY_265-M-1-21-20130731","DSNY_265-M-20130731","DSNY","DSNY_265"
"30","DSNY.265.xx.M.xx.x.20130731.join","Composite",2505,4664897.3,"DSNY_265-M-20130731-C","DSNY_265-M-20130731","DSNY","DSNY_265"
"31","DSNY.293.39.M.16.35.20130731.join","Individual",2593,4664915.3,"DSNY_293-M-16-35-20130731","DSNY_293-M-20130731","DSNY","DSNY_293"
"32","DSNY.293.xx.M.xx.x.20130731.join","Composite",2575,4664922.3,"DSNY_293-M-20130731-C","DSNY_293-M-20130731","DSNY","DSNY_293"
"48","HARV.001.50.Mineral.25.38.20130709.join","Individual",2580,4664909.3,"HARV_001-M-25-38-20130709","HARV_001-M-20130709","HARV","HARV_001"
"49","HARV.001.xx.Mineral.x.x.2013070x.join","Composite",2478,4664893.3,"HARV_001-M-2013070-C","HARV_001-M-20130709","HARV","HARV_001"
"47","HARV.001.05.04.Mineral.13.7.20131122.join","Individual",2513,4664892.3,"HARV_001-M-13-7-20131122","HARV_001-M-20131122","HARV","HARV_001"
"50","HARV.001.xx.xx.Mineral.x.x.20131122.join","Composite",2465,4664868.3,"HARV_001-M-20131122-C","HARV_001-M-20131122","HARV","HARV_001"
"51","HARV.004.51.Mineral.34.37.20130709.join","Individual",2569,4664873.3,"HARV_004-M-34-37-20130709","HARV_004-M-20130709","HARV","HARV_004"
"52","HARV.004.xx.Mineral.x.x.20130709.join","Composite",2355,4664863.3,"HARV_004-M-20130709-C","HARV_004-M-20130709","HARV","HARV_004"
"54","OSBS.047.39.M.9.26.20130726.join","Individual",2628,4664920.3,"OSBS_047-M-9-26-20130726","OSBS_047-M-20130726","OSBS","OSBS_047"
