"","metagenomeID","sampleType","ShannonIndex","sampleID","Event_name","siteID","plotID","SpeciesRichness"
"39","DSNY_016.23.M.23.38.20140910.join","Individual",5.82720127872984,"DSNY_016-M-23-38-20140910","DSNY_016-M-20140910","DSNY","DSNY_016",1571
"40","DSNY_016.23.M.35.17.20140327.join","Individual",5.72795256148622,"DSNY_016-M-35-17-20140327","DSNY_016-M-20140327","DSNY","DSNY_016",1563
"41","DSNY_016.23.M.37.14.20140410.join","Individual",5.78502341506633,"DSNY_016-M-37-14-20140410","DSNY_016-M-20140410","DSNY","DSNY_016",1544
"42","DSNY_016.xx.M.xx.xx.20140327.join","Composite",5.7496663375332,"DSNY_016-M-20140327-C","DSNY_016-M-20140327","DSNY","DSNY_016",1590
"43","DSNY_016.xx.M.xx.xx.20140410.join","Composite",5.74406281466928,"DSNY_016-M-20140410-C","DSNY_016-M-20140410","DSNY","DSNY_016",1552
"44","DSNY_016.xx.M.xx.xx.20140910.join","Composite",5.79439817805865,"DSNY_016-M-20140910-C","DSNY_016-M-20140910","DSNY","DSNY_016",1547
"45","DSNY_101.xx.M.xx.xx.20130731.join","Composite",5.65680304912995,"DSNY_101-M-20130731-C","DSNY_101-M-20130731","DSNY","DSNY_101",1561
"46","DSNY_201.xx.M.xx.xx.20130731.join","Composite",5.84074675238665,"DSNY_201-M-20130731-C","DSNY_201-M-20130731","DSNY","DSNY_201",1556
"47","HARV.001.05.04.Mineral.13.7.20131122.join","Individual",5.79568122524219,"HARV_001-M-13-7-20131122","HARV_001-M-20131122","HARV","HARV_001",1567
"48","HARV.001.50.Mineral.25.38.20130709.join","Individual",5.88566764230805,"HARV_001-M-25-38-20130709","HARV_001-M-20130709","HARV","HARV_001",1553
"49","HARV.001.xx.Mineral.x.x.2013070x.join","Composite",5.8492700683894,"HARV_001-M-2013070-C","HARV_001-M-20130709","HARV","HARV_001",1557
"50","HARV.001.xx.xx.Mineral.x.x.20131122.join","Composite",5.85032588287972,"HARV_001-M-20131122-C","HARV_001-M-20131122","HARV","HARV_001",1558
"51","HARV.004.51.Mineral.34.37.20130709.join","Individual",5.88860529794212,"HARV_004-M-34-37-20130709","HARV_004-M-20130709","HARV","HARV_004",1556
"52","HARV.004.xx.Mineral.x.x.20130709.join","Composite",5.83467254625699,"HARV_004-M-20130709-C","HARV_004-M-20130709","HARV","HARV_004",1522
"53","OSBS.047.23.M.30.7.20131112.join","Individual",5.81289225999291,"OSBS_047-M-30-7-20131112","OSBS_047-M-20131112","OSBS","OSBS_047",1568
"54","OSBS.047.39.M.9.26.20130726.join","Individual",5.83970985140074,"OSBS_047-M-9-26-20130726","OSBS_047-M-20130726","OSBS","OSBS_047",1521
