metagenomeID	name	sequences	biome	feature	material	sequencing&nbsp;type			project
4637862.3	STER_003.XX.Mineral.xx_xx_20131217.join	10648364	Temperate grasslands	farm	surface soil	WGS			NEON
4637863.3	STER_004.NW.Mineral.7_21_20131217.join	6903509	Temperate grasslands	farm	surface soil	WGS			NEON
4637864.3	STER_004.SW.Mineral.3_10.20130627.join	11516511	Temperate grasslands	farm	surface soil	WGS			NEON
4637865.3	STER_004.XX.Mineral.xx_xx.20130627.join	12969937	Temperate grasslands	farm	surface soil	WGS			NEON
4637866.3	STER_004.XX.Mineral.xx_xx_20131217.join	10785430	Temperate grasslands	farm	surface soil	WGS			NEON
4637867.3	STER_005.NW.Mineral.5_35.20130627.join	9541812	Temperate grasslands	farm	surface soil	WGS			NEON
4637868.3	STER_005.XX.Mineral.xx_xx.20130627.join	12396345	Temperate grasslands	farm	surface soil	WGS			NEON
4664850.3	OSBS.119.21.M.19.1.20131112.join	13815534	terrestrial biome	soil	surface soil	WGS			NEON
4664851.3	SCBI.003.xx.M.xx.x.20140915.join	10125449	terrestrial biome	soil	surface soil	WGS			NEON
4664852.3	OSBS.048.xx.M.xx.x.20130726.join	9215278	terrestrial biome	soil	surface soil	WGS			NEON
4664853.3	HARV.001.xx.xx.Organic.x.x.20131122.join	4450074	terrestrial biome	soil	surface soil	WGS			NEON
4664854.3	HARV.013.39.Mineral.7.22.20130708.join	2189344	terrestrial biome	soil	surface soil	WGS			NEON
4664855.3	WOOD.002.xx.M.xx.x.20140925.join	11909425	Temperate grasslands	soil	surface soil	WGS			NEON
4664856.3	OSBS.119.xx.M.xx.x.20130726.join	5897609	terrestrial biome	soil	surface soil	WGS			NEON
4664857.3	OSBS.087.39.M.1.21.20130726.join	17803668	terrestrial biome	soil	surface soil	WGS			NEON
4664858.3	CPER.001.NE.Mineral.38.38.20131024.join	12870922	Temperate grasslands	plain	surface soil	WGS			NEON
4664859.3	WOOD.002.xx.M.xx.x.20140702.join	3837047	Temperate grasslands	soil	surface soil	WGS			NEON
4664860.3	TALL.001.xx.M.xx.x.20140708.join	7189172	terrestrial biome	soil	surface soil	WGS			NEON
4664861.3	OSBS.119.39.M.5.35.20130726.join	15170867	terrestrial biome	soil	surface soil	WGS			NEON
4664862.3	HARV.016.21.1.1.Organic.20130709.join	6394297	terrestrial biome	soil	surface soil	WGS			NEON
4664863.3	HARV.004.xx.Mineral.x.x.20130709.join	5435045	terrestrial biome	soil	surface soil	WGS			NEON
4664864.3	OSBS.022.xx.M.xx.x.20140917.join	11743573	terrestrial biome	soil	surface soil	WGS			NEON
4664865.3	DSNY.201.23.M.24.9.20131114.join	9660152	terrestrial biome	soil	surface soil	WGS			NEON
4664866.3	CPER.002.SE.Mineral.38.8.20131024.join	11191149	Temperate grasslands	plain	surface soil	WGS			NEON
4664867.3	SCBI.006.xx.M.xx.x.20140915.join	4085634	terrestrial biome	soil	surface soil	WGS			NEON
4664868.3	HARV.001.xx.xx.Mineral.x.x.20131122.join	9325181	terrestrial biome	soil	surface soil	WGS			NEON
4664869.3	HARV.013.05.15.Organic.31.27.20131122.join	12589307	terrestrial biome	soil	surface soil	WGS			NEON
4664870.3	DSNY.201.39.M.6.30.20130731.join	11259864	terrestrial biome	soil	surface soil	WGS			NEON
4664871.3	WOOD.001.xx.M.xx.x.20140507.join	7424956	Temperate grasslands	soil	surface soil	WGS			NEON
4664872.3	WOOD.003.xx.M.xx.x.20140702.join	11886690	Temperate grasslands	soil	surface soil	WGS			NEON
4664873.3	HARV.004.51.Mineral.34.37.20130709.join	12023410	terrestrial biome	soil	surface soil	WGS			NEON
4664874.3	TALL.006.xx.M.xx.x.20140707.join	11077536	terrestrial biome	soil	surface soil	WGS			NEON
4664875.3	WOOD.003.xx.M.xx.x.20140925.join	9823679	Temperate grasslands	soil	surface soil	WGS			NEON
4664876.3	HARV.004.xx.xx.Organic.x.x.20131122.join	10861997	terrestrial biome	soil	surface soil	WGS			NEON
4664877.3	OSBS.047.xx.M.xx.x.20130726.join	8515777	terrestrial biome	soil	surface soil	WGS			NEON
4664878.3	STER.005.xx.Mineral.x.x.20140618.join	9925103	Temperate grasslands	farm	surface soil	WGS			NEON
4664879.3	TALL.001.xx.O.xx.x.20140708.join	13563212	terrestrial biome	soil	surface soil	WGS			NEON
4664880.3	STER.006.xx.Mineral.x.x.20140618.join	12154191	Temperate grasslands	farm	surface soil	WGS			NEON
4664881.3	HARV.004.05.11.Organic.31.8.20131122.join	13021729	terrestrial biome	soil	surface soil	WGS			NEON
4664882.3	OSBS.087.xx.M.xx.x.20130726.join	11943998	terrestrial biome	soil	surface soil	WGS			NEON
4664883.3	WOOD.001.xx.M.xx.x.20140702.join	10492264	Temperate grasslands	soil	surface soil	WGS			NEON
4664884.3	OSBS.119.xx.M.xx.x.20131112.join	6338349	terrestrial biome	soil	surface soil	WGS			NEON
4664885.3	WOOD.001.xx.M.xx.x.20140925.join	11888219	Temperate grasslands	soil	surface soil	WGS			NEON
4664886.3	OSBS.047.xx.M.xx.x.20131112.join	9836598	terrestrial biome	soil	surface soil	WGS			NEON
4664887.3	OSBS.048.xx.M.xx.x.20140314.join	13771508	terrestrial biome	soil	surface soil	WGS			NEON
4664888.3	HARV.001.23.Organic.22.2.20130709.join	11225533	terrestrial biome	soil	surface soil	WGS			NEON
4664889.3	CPER.003.SW.Mineral.3.10.20130701.join	8951440	Temperate grasslands	plain	surface soil	WGS			NEON
4664890.3	CPER.004.NW.Mineral.5.35.20130701.join	5403305	Temperate grasslands	plain	surface soil	WGS			NEON
4664891.3	CPER.002.SE.Mineral.36.5.20130701.join	11797747	Temperate grasslands	plain	surface soil	WGS			NEON
4664892.3	HARV.001.05.04.Mineral.13.7.20131122.join	13044744	terrestrial biome	soil	surface soil	WGS			NEON
4664893.3	HARV.001.xx.Mineral.x.x.2013070x.join	7731905	terrestrial biome	soil	surface soil	WGS			NEON
4664894.3	TALL.004.xx.M.xx.x.20140708.join	15867313	terrestrial biome	soil	surface soil	WGS			NEON
4664895.3	TALL.001.xx.O.xx.x.20140516.join	11407245	terrestrial biome	soil	surface soil	WGS			NEON
4664896.3	SCBI.002.xx.M.xx.x.20140915.join	11102264	terrestrial biome	soil	surface soil	WGS			NEON
4664897.3	DSNY.265.xx.M.xx.x.20130731.join	10621895	terrestrial biome	soil	surface soil	WGS			NEON
4664898.3	STER.026.xx.Mineral.x.x.20140618.join	10277038	Temperate grasslands	farm	surface soil	WGS			NEON
4664899.3	STER.003.xx.Mineral.x.x.20140325.join	13977759	Temperate grasslands	farm	surface soil	WGS			NEON
4664900.3	OSBS.047.23.M.30.7.20131112.join	9956786	terrestrial biome	soil	surface soil	WGS			NEON
4664901.3	CPER.001.NE.Mineral.25.38.20130701.join	9444665	Temperate grasslands	plain	surface soil	WGS			NEON
4664902.3	HARV.013.xx.Mineral.x.x.20130708.join	9804495	terrestrial biome	soil	surface soil	WGS			NEON
4664903.3	HARV.016.xx.Mineral.x.x.2013070x.join	7058306	terrestrial biome	soil	surface soil	WGS			NEON
4664904.3	WOOD.003.xx.M.xx.x.20140507.join	11862975	Temperate grasslands	soil	surface soil	WGS			NEON
4664905.3	TALL.004.21.M.24.15.20140708.join	6177105	terrestrial biome	soil	surface soil	WGS			NEON
4664906.3	TALL.001.xx.M.xx.x.20140516.join	5820100	terrestrial biome	soil	surface soil	WGS			NEON
4664907.3	SCBI.012.xx.M.xx.x.20140915.join	9960587	terrestrial biome	soil	surface soil	WGS			NEON
4664908.3	OSBS.001.xx.M.xx.x.20140917.join	9688330	terrestrial biome	soil	surface soil	WGS			NEON
4664909.3	HARV.001.50.Mineral.25.38.20130709.join	14289408	terrestrial biome	soil	surface soil	WGS			NEON
4664910.3	DSNY.265.39.M.1.21.20130731.join	12352535	terrestrial biome	soil	surface soil	WGS			NEON
4664911.3	HARV.004.48.Organic.5.35.20130709.join	9305583	terrestrial biome	soil	surface soil	WGS			NEON
4664912.3	DSNY.101.39.M.9.26.20130731.join	9593464	terrestrial biome	soil	surface soil	WGS			NEON
4664913.3	OSBS.087.xx.M.xx.x.20140314.join	10752514	terrestrial biome	soil	surface soil	WGS			NEON
4664914.3	OSBS.048.39.M.9.22.20130726.join	15186763	terrestrial biome	soil	surface soil	WGS			NEON
4664915.3	DSNY.293.39.M.16.35.20130731.join	11701258	terrestrial biome	soil	surface soil	WGS			NEON
4664916.3	HARV.001.05.05.Organic.30.7.20131122.join	13398153	terrestrial biome	soil	surface soil	WGS			NEON
4664917.3	WOOD.002.xx.M.xx.x.20140507.join	10281676	Temperate grasslands	soil	surface soil	WGS			NEON
4664918.3	DSNY.101.xx.M.xx.x.20131114.join	70733994	terrestrial biome	soil	surface soil	WGS			NEON
4664919.3	HARV.016.50.Mineral.22.33.20130708.join	6119472	terrestrial biome	soil	surface soil	WGS			NEON
4664920.3	OSBS.047.39.M.9.26.20130726.join	14644882	terrestrial biome	soil	surface soil	WGS			NEON
4664921.3	STER.004.xx.Mineral.x.x.20140325.join	9447277	Temperate grasslands	farm	surface soil	WGS			NEON
4664922.3	DSNY.293.xx.M.xx.x.20130731.join	10503597	terrestrial biome	soil	surface soil	WGS			NEON
4664923.3	TALL.002.39.O.10.34.20140708.join	6456938	terrestrial biome	soil	surface soil	WGS			NEON
4664924.3	STER.005.xx.Mineral.x.x.20140325.join	15576212	Temperate grasslands	farm	surface soil	WGS			NEON
4664925.3	DSNY.201.xx.M.xx.x.20131114.join	26357757	terrestrial biome	soil	surface soil	WGS			NEON
4664926.3	DSNY.101.23.M.35.7.20131114.join	9573351	terrestrial biome	soil	surface soil	WGS			NEON
4664927.3	STER.006.xx.Mineral.x.x.20140325.join	7968684	Temperate grasslands	farm	surface soil	WGS			NEON
4664928.3	HARV.013.xx.xx.Organic.x.x.20131122.join	7874965	terrestrial biome	soil	surface soil	WGS			NEON
4664929.3	TALL.002.xx.M.xx.x.20140708.join	10519094	terrestrial biome	soil	surface soil	WGS			NEON
4664930.3	TALL.006.xx.O.xx.x.20140707.join	13667412	terrestrial biome	soil	surface soil	WGS			NEON
4664931.3	STER.018.xx.Mineral.x.x.20140618.join	10848625	Temperate grasslands	farm	surface soil	WGS			NEON
