SampleID	CPER_002-M-20131024
Abies	1
Abiotrophia	305
Abudefduf	1
Acanthamoeba	67
Acanthocardia	3
Acanthosaura	1
Acanthoscurria	1
Acaryochloris	6359
Acetabularia	5
Acetivibrio	1126
Acetobacter	1863
Acetobacterium	7
Acetohalobium	1636
Acholeplasma	196
Achromobacter	10472
Aciculosporium	2
Acidaminococcus	1394
Acidianus	6
Acidilobus	253
Acidimicrobium	10684
Acidiphilium	11445
Acidithiobacillus	4055
Acidithiomicrobium	7
Acidobacterium	34029
Acidocella	2
Acidomonas	1
Acidothermus	36126
Acidovorax	16606
Aciduliprofundum	479
Acinetobacter	3810
Acipenser	1
Acorus	4
Acrasis	1
Acremonium	2
Acrobeloides	1
Acropora	1
Actaea	1
Actinidia	3
Actinoallomurus	5
Actinobacillus	1199
Actinobaculum	8
Actinocorallia	4
Actinokineospora	4
Actinomadura	385
Actinomyces	7017
Actinophrys	1
Actinoplanes	1113
Actinopolyspora	2
Actinosynnema	38304
Actinotalea	3
Acyrthosiphon	115
Adiantum	11
Adineta	30
Advenella	2
Aedes	214
Aegilops	45
Aeribacillus	1
Aerococcus	253
Aeromicrobium	5604
Aeromonas	2956
Aeropyrum	1095
Aethionema	1
Afifella	5
Afipia	6677
Agaricus	9
Agarivorans	1
Agastache	1
Agathis	1
Aggregatibacter	406
Agreia	1
Agrobacterium	14371
Agrococcus	1
Agrocybe	1
Agromyces	17
Agropyron	24
Agrostis	52
Agrotis	2
Ahrensia	1241
Ailuropoda	165
Ajellomyces	803
Akkermansia	8117
Albidiferax	7627
Alcaligenes	107
Alcanivorax	2304
Alcea	1
Algoriphagus	3655
Alicycliphilus	2769
Alicyclobacillus	6338
Aliivibrio	576
Alistipes	1177
Alkalilimnicola	5684
Alkalimonas	2
Alkaliphilus	5373
Alligator	1
Allium	1
Allochromatium	3249
Allomyces	10
Alnus	6
Alopecurus	1
Alphabaculovirus	4
Alphalipothrixvirus	1
Alsophila	2
Alternaria	10
Alteromonas	1728
Altingia	1
Amanoa	1
Amaranthus	3
Amblyglyphidodon	1
Amblyomma	2
Amborella	2
Ambrosia	1
Ambystoma	1
Amia	1
Aminobacter	15
Aminobacterium	927
Aminomonas	1139
Ammonifex	4262
Ammophila	5
Amoeba	1
Amoebidium	1
Ampelomyces	1
Amphibacillus	2
Amphidinium	2
Amphiprion	1
Amycolatopsis	57006
Amyema	1
Amylomyces	1
Anabaena	17798
Anaerobaculum	1692
Anaerobranca	3
Anaerococcus	614
Anaerofustis	267
Anaerolinea	7543
Anaeromyxobacter	55279
Anaeroplasma	1
Anaerostipes	358
Anaerotruncus	789
Ananas	5
Anaplasma	632
Anas	2
Ancylobacter	5
Aneura	6
Aneurinibacillus	60
Angiopteris	17
Anguilla	2
Anisakis	1
Ankyra	1
Anomochloa	7
Anomoloma	1
Anopheles	564
Anoplopoma	8
Anoxybacillus	2047
Anser	1
Anterhynchium	1
Anthela	1
Antheraea	2
Anthoceros	9
Anthopleura	3
Antipaluria	2
Antirrhinum	2
Antithamnionella	1
Apalocnemis	1
Apatophyllum	1
Aphanizomenon	47
Aphanocladium	1
Aphanomyces	2
Aphanothece	1
Apiochaeta	1
Apis	202
Aplysia	3
Aplysina	1
Aposthonia	1
Apteryx	1
Aquabacterium	7
Aquifex	4103
Aquincola	1
Arabidopsis	2970
Arachis	6
Arachnomyces	1
Arcanobacterium	681
Arcella	1
Archaeoglobus	2084
Arcobacter	721
Arctocephalus	1
Arenicola	2
Argemone	1
Argiope	1
Arhodomonas	1
Aristida	4
Aristogeitonia	1
Aristolochia	2
Armillaria	4
Aromatoleum	9569
Arsenophonus	71
Artemia	5
Artemisia	1
Arthrobacter	39117
Arthroderma	441
Arthrospira	3790
Arundinaria	6
Asaia	1
Ascaris	5
Ascobolus	3
Ascophyllum	4
Ascosphaera	1
Ascovirus	1
Asfivirus	4
Asparagus	23
Aspergillus	6309
Asteranthe	1
Asterias	2
Asticcacaulis	2776
Astrothelium	1
Asymmetron	1
Atolla	1
Atopobium	1267
Atrina	2
Atriplex	1
Atropa	2
Aulacomnium	1
Aurantimonas	6473
Aurelia	1
Aureobasidium	3
Aureococcus	435
Auricularia	1
Autographa	1
Avena	62
Aviadenovirus	1
Avibacterium	3
Avicennia	1
Azoarcus	8138
Azohydromonas	5
Azorhizobium	13321
Azospirillum	12681
Azotobacter	2908
Babesia	24
Bacillus	47650
Bacteriovorax	1151
Bacteroides	14830
Bagnisiella	1
Balanus	1
Bambusa	30
Barbarea	1
Barnadesia	1
Bartonella	1832
Basfia	428
Basidiobolus	1
Bazzania	1
Bdellovibrio	4625
Beckmannia	2
Beggiatoa	2984
Begonia	1
Beijerinckia	5425
Bemisia	1
Benthoctopus	1
Berberidopsis	1
Bergeyella	3
Bermanella	406
Beryx	1
Beta	5
Betabaculovirus	6
Betula	1
Beutenbergia	14223
Bibersteinia	28
Bifidobacterium	4768
Bigelowiella	12
Bilophila	715
Biomphalaria	2
Bipolaris	1
Biston	2
Bitis	1
Bixa	1
Blastobotrys	1
Blastochloris	39
Blastocladiella	2
Blastocystis	68
Blastopirellula	23183
Blattabacterium	231
Blattella	2
Blautia	1348
Blepharisma	1
Blumeria	5
Bodo	2
Boechera	2
Bolbocoleon	2
Bombardia	1
Bombus	1
Bombyx	24
Bordetella	18288
Borrelia	617
Bos	273
Bosea	22
Bostrychia	1
Bothrops	1
Botryococcus	1
Botryotinia	656
Bouteloua	6
Bouvardia	1
Bpp-1-like viruses	18
Brachidontes	1
Brachionus	5
Brachybacterium	3145
Brachyelytrum	4
Brachymonas	17
Brachypodium	30
Brachyspira	1010
Bradyrhizobium	146241
Branchiostoma	825
Brassica	34
Brevibacillus	5805
Brevibacterium	4613
Brevundimonas	4811
Brexia	1
Briareum	1
Bromus	2
Brucella	6181
Brugia	112
Bryonia	12
Bryopsis	3
Bubalus	1
Buchnera	329
Bujurquina	1
