SampleID	CPER_001-M-20140116
Abida	1
Abies	1
Abiotrophia	332
Acanthamoeba	41
Acanthocyclops	1
Acanthopagrus	1
Acaryochloris	8740
Acetabularia	8
Acetitomaculum	1
Acetivibrio	1589
Acetobacter	2089
Acetobacterium	1
Acetohalobium	2231
Achlya	2
Achlyodes	1
Achnatherum	1
Acholeplasma	256
Achromobacter	18424
Acidaminococcus	2079
Acidianus	8
Acidilobus	282
Acidimicrobium	10956
Acidiphilium	12513
Acidithiobacillus	6098
Acidithiomicrobium	10
Acidobacterium	41708
Acidocella	1
Acidomonas	2
Acidothermus	26128
Acidovorax	26396
Aciduliprofundum	589
Acinetobacter	6282
Acipenser	1
Acorus	4
Acrasis	6
Acrobeloides	1
Acrophialophora	1
Acropora	2
Acrostichus	1
Actaea	3
Actinidia	5
Actinoallomurus	4
Actinobacillus	1840
Actinobaculum	3
Actinocorallia	7
Actinokineospora	1
Actinomadura	265
Actinomucor	1
Actinomyces	6704
Actinophrys	1
Actinoplanes	775
Actinopolyspora	1
Actinosynnema	33134
Actinotalea	1
Acyrthosiphon	210
Adiantum	20
Adineta	41
Adonis	1
Advenella	8
Aedes	728
Aegiceras	1
Aegilops	44
Aeluropus	1
Aeribacillus	1
Aerococcus	308
Aeromicrobium	8734
Aeromonas	4123
Aeropyrum	1830
Aethionema	1
Afifella	12
Afipia	8001
Agaricus	18
Agathis	1
Agelena	1
Ageratina	1
Aggregatibacter	613
Aglaothamnion	2
Aglaura	1
Agreia	3
Agrilus	1
Agrobacterium	23794
Agrocybe	3
Agromyces	30
Agropyron	14
Agrostis	10
Agrotis	1
Agrypnus	1
Ahrensia	2343
Ailuropoda	257
Ajellomyces	332
Akkermansia	4452
Albidiferax	12444
Alcaligenes	74
Alcanivorax	4509
Alepocephalus	1
Alexandrium	2
Algoriphagus	5975
Alicycliphilus	4823
Alicyclobacillus	7684
Aliivibrio	1264
Alistipes	1934
Alkalilimnicola	8304
Alkalimonas	6
Alkaliphilus	7084
Allochromatium	5204
Allomyces	13
Alnus	9
Alocasia	1
Alonsoa	1
Alphabaculovirus	10
Alphalipothrixvirus	5
Alpharetrovirus	1
Alternanthera	1
Alternaria	21
Alteromonas	3110
Alvinella	1
Alyculus	1
Amanita	1
Amaranthus	4
Amastigomonas	1
Amblyomma	2
Amblyrhynchus	1
Amborella	1
Ambystoma	3
Ametastegia	1
Amia	1
Aminobacter	16
Aminobacterium	1359
Aminomonas	1531
Ammonifex	5681
Ammopiptanthus	1
Amoeba	3
Amoebidium	1
Amolops	1
Amomum	1
Ampelodesmos	1
Ampelomyces	1
Ampelopsis	1
Amphibacillus	3
Amphidinium	10
Amphimedon	3
Amphithera	1
Ampullaria	1
Amycolatopsis	37891
Amylomyces	1
Anabaena	26145
Anaerobaculum	2267
Anaerobranca	4
Anaerococcus	803
Anaerofustis	413
Anaerolinea	11453
Anaeromyxobacter	86054
Anaeroplasma	1
Anaerostipes	467
Anaerotruncus	1008
Ananas	2
Anaphalioides	2
Anaplasma	753
Anas	10
Anchusa	1
Ancistrocladus	1
Ancylobacter	10
Andalucia	2
Anemia	1
Aneura	5
Aneurinibacillus	112
Angelica	1
Angiopteris	6
Anguilla	1
Anisopogon	1
Anomochloa	2
Anomodon	1
Anopheles	878
Anoplopoma	14
Anotrichium	1
Anoxybacillus	2823
Anser	1
Antarctobacter	1
Antheraea	3
Anthoceros	12
Anthophora	1
Anthopleura	3
Anthracobia	1
