SampleID	CPER_002-M-20130701
Caldicellulosiruptor	6949
Calditerrivibrio	1181
Caldivirga	321
Caldococcus	1
Caligus	13
Callinectes	1
Callithrix	47
Callitriche	2
Callyspongia	1
Caloramator	2
Caloscypha	7
Calothrix	19
Camelina	1
Camellia	4
Caminibacter	195
Camponotus	65
Camptotheca	4
Campylobacter	2108
Canavalia	5
Candida	287
Candidatus Accumulibacter	4583
Candidatus Amoebophilus	587
Candidatus Arthromitus	2
Candidatus Azobacteroides	156
Candidatus Blochmannia	85
Candidatus Caldiarchaeum	50
Candidatus Cardinium	1
Candidatus Carsonella	1
Candidatus Chloracidobacterium	36
Candidatus Cloacamonas	530
Candidatus Desulforudis	4468
Candidatus Endobugula	4
Candidatus Fritschea	58
Candidatus Hamiltonella	132
Candidatus Hemobacterium	1
Candidatus Hodgkinia	1
Candidatus Korarchaeum	574
Candidatus Koribacter	47391
Candidatus Kuenenia	3635
Candidatus Liberibacter	94
Candidatus Magnetobacterium	14
Candidatus Micrarchaeum	88
Candidatus Odyssella	48
Candidatus Parvarchaeum	80
Candidatus Pelagibacter	1255
Candidatus Phytoplasma	158
Candidatus Portiera	1
Candidatus Protochlamydia	1801
Candidatus Puniceispirillum	1444
Candidatus Regiella	83
Candidatus Riesia	15
Candidatus Solibacter	102811
Candidatus Sulcia	76
Candidatus Tremblaya	1
Candidatus Zinderia	4
Canis	166
Capnocytophaga	1634
Capnodium	25
Capra	6
Capronia	9
Capsaspora	368
Capsella	4
Capsicum	13
Carabus	1
Carassius	1
Carboxydothermus	7811
Carcinoscorpius	1
Cardiobacterium	499
Carex	1
Carica	3
Carnobacterium	224
Carpinus	1
Carteria	1
Carthaea	1
Castellaniella	7
Catabena	1
Catapyrenium	1
Catenibacterium	234
Catenulispora	45323
Catenuloplanes	3
Catharanthus	17
Catonella	219
Catostylus	1
Caulerpa	3
Caulobacter	18504
Cavia	22
Cedrus	42
Cellulomonas	11238
Cellulophaga	1010
Cellulosilyticum	575
Cellulosimicrobium	12
Cellvibrio	2276
Celosia	69
Celtica	1
Cenarchaeum	1003
Cenchrus	1
Cenococcum	1
Centroceras	1
Centruroides	1
Cephalenchus	1
Cephalobus	154
