SampleID	CPER_002-M-20140117
Abiotrophia	466
Absidia	1
Abudefduf	1
Acanella	1
Acanthamoeba	79
Acanthascus	1
Acanthaster	1
Acanthocardia	14
Acanthocyclops	1
Acanthopagrus	1
Acanthoscurria	1
Acaryochloris	10076
Acephala	1
Acetabularia	9
Acetivibrio	1858
Acetobacter	2938
Acetobacterium	12
Acetohalobium	2539
Achalinus	1
Achelia	1
Achlya	2
Achnanthes	2
Acholeplasma	315
Achromobacter	18386
Aciculosporium	1
Acidaminococcus	2438
Acidianus	8
Acidilobus	402
Acidimicrobium	15030
Acidiphilium	17433
Acidithiobacillus	7347
Acidithiomicrobium	5
Acidobacterium	61837
Acidocella	1
Acidomonas	3
Acidothermus	53947
Acidovorax	27039
Aciduliprofundum	908
Acinetobacter	7609
Acipenser	1
Acleisanthes	1
Acnephalum	1
Acorus	4
Acrasis	3
Acremonium	2
Actinidia	3
Actinoallomurus	6
Actinobacillus	2352
Actinobaculum	1
Actinocorallia	8
Actinokineospora	1
Actinomadura	542
Actinomyces	10457
Actinoplanes	1189
Actinopolyspora	1
Actinosynnema	55019
Actinotalea	2
Acyrthosiphon	230
Adiantum	17
Adineta	57
Adonis	1
Advenella	5
Aedes	749
Aegiceras	1
Aegilops	9
Aeribacillus	7
Aerococcus	352
Aeromicrobium	7479
Aeromonas	4761
Aeropyrum	1428
Aethionema	3
Afifella	10
Afipia	12007
Afronothrus	1
Afrothismia	2
Agapostemon	1
Agaricostilbum	1
Agaricus	21
Agarivorans	3
Agathis	3
Agave	1
Aggregatibacter	727
Agkistrodon	1
Agreia	1
Agrobacterium	26934
Agrococcus	1
Agrocybe	3
Agromyces	21
Agropyron	1
Agrostis	9
Agrotis	5
Agrypnus	2
Ahrensia	2010
Aigialus	1
Ailuropoda	251
Ajellomyces	1621
Akkermansia	14467
Albidiferax	12327
Alcaligenes	134
Alcanivorax	4000
Alectoris	1
Aleurochiton	2
Alexandrium	5
Algoriphagus	6399
Alicycliphilus	4848
Alicyclobacillus	10261
Aliivibrio	1107
Alistipes	2321
Alkalilimnicola	9850
Alkalimonas	3
Alkaliphilus	7597
Alkalispirillum	1
Alligator	1
Allium	1
Allochromatium	4402
Alloecella	1
Allomyces	8
Alnus	13
Alocasia	1
Aloe	2
Alphabaculovirus	7
Alphalipothrixvirus	1
Alsophila	1
Alternanthera	1
Alternaria	22
Alteromonas	2453
Alvinella	1
Amandinea	3
Amanita	1
Amaranthus	5
Amblyomma	3
Amborella	6
Ambrosiozyma	1
Ambystoma	2
Amia	1
Aminobacter	17
Aminobacterium	1809
Aminomonas	1868
Ammonifex	6911
Ammopiptanthus	1
Amomum	1
Ampelomyces	1
Amphibacillus	2
Amphidinium	5
Amphimedon	3
Amphiprion	1
Amphizoa	1
Ampullaria	2
Ampullavirus	1
Amycolatopsis	81210
Amylomyces	1
Anabaena	29977
Anaerobaculum	2836
Anaerobranca	4
Anaerococcus	1059
Anaerofustis	445
Anaerolinea	14966
Anaeromyxobacter	95275
Anaeroplasma	1
Anaerostipes	542
Anaerotruncus	1315
Anagrus	1
Ananas	2
Anaplasma	826
Anas	8
Ancylobacter	9
Ancylostoma	1
Anderseniella	2
Andrias	1
Andrographis	1
Anemia	1
Anethum	2
Aneurinibacillus	38
Angiopteris	17
Angiostrongylus	2
Anguilla	3
Anisopteromalus	1
Annona	1
Anomochloa	5
Anopheles	1091
Anoplocephala	1
Anoplopoma	10
Anoxybacillus	3227
Anser	2
Antheraea	1
Anthoceros	14
Anthocidaris	3
Anthocleista	1
Anthopleura	6
Anthracobia	1
Anthriscus	2
Antipaluria	1
Antirrhinum	9
Antonospora	3
Antrodiaetus	1
