SampleID	CPER_001-M-20130701
Abiotrophia	258
Abudefduf	1
Acanthamoeba	38
Acanthocyclops	1
Acanthopagrus	2
Acanthoscurria	1
Acaryochloris	5669
Acetabularia	5
Acetivibrio	1131
Acetobacter	2261
Acetobacterium	2
Acetohalobium	1471
Acetonema	1
Achatina	1
Achlya	1
Acholeplasma	268
Achromobacter	15785
Acidaminococcus	1407
Acidianus	6
Acidilobus	190
Acidimicrobium	7710
Acidiphilium	12182
Acidithiobacillus	4480
Acidithiomicrobium	11
Acidobacterium	35420
Acidocella	4
Acidomonas	3
Acidothermus	18864
Acidovorax	23794
Aciduliprofundum	449
Acinetobacter	5797
Acipenser	2
Acmopyle	1
Acorus	2
Acrasis	1
Acricotopus	1
Acrochaetium	1
Acropora	1
Actaea	1
Actinastrum	1
Actinidia	7
Actinoallomurus	21
Actinobacillus	1564
Actinobaculum	7
Actinocorallia	60
Actinomadura	174
Actinomyces	5305
Actinoplanes	516
Actinopolyspora	1
Actinosynnema	21598
Acyrthosiphon	152
Adiantum	7
Adineta	35
Adonis	1
Advenella	5
Aedes	291
Aegilops	3
Aeribacillus	2
Aerococcus	272
Aeromicrobium	2727
Aeromonas	3851
Aeropyrum	796
Aethionema	3
Afifella	13
Afipia	7828
Agaricus	11
Agathis	3
Agave	1
Aggregatibacter	502
Agreia	1
Agrobacterium	18890
Agromyces	12
Agropyron	1
Agrostis	1
Ahrensia	1814
Ailuropoda	189
Ajellomyces	353
Akkermansia	5399
Albidiferax	9906
Alcaligenes	132
Alcanivorax	3691
Aleuroglyphus	1
Alexandrium	2
Algoriphagus	4280
Alicycliphilus	4277
Alicyclobacillus	5572
Aliivibrio	954
Alistipes	1505
Alkalilactibacillus	1
Alkalilimnicola	5768
Alkalimonas	1
Alkaliphilus	4231
Allexis	1
Alligator	2
Allium	4
Allochromatium	3714
Allomyces	3
Alnus	11
Alopecurus	1
Alphabaculovirus	4
Alphalipothrixvirus	2
Alpheus	2
Alternanthera	1
Alternaria	7
Alteromonas	2292
Alyssum	1
Amanita	1
Amaranthus	3
