SampleID	CPER_003-M-20130701
Abies	1
Abiotrophia	291
Abispa	1
Absconditella	21
Acanthamoeba	43
Acanthaster	1
Acanthobrahmaea	1
Acanthoscurria	1
Acaryochloris	5713
Acetabularia	2
Acetivibrio	1026
Acetobacter	1769
Acetobacterium	6
Acetohalobium	1678
Acholeplasma	229
Achromobacter	12521
Aciculosporium	1
Acidaminococcus	987
Acidianus	3
Acidilobus	242
Acidimicrobium	6870
Acidiphilium	8952
Acidithiobacillus	4255
Acidithiomicrobium	68
Acidobacterium	31737
Acidocella	1
Acidothermus	20292
Acidovorax	18846
Aciduliprofundum	451
Acinetobacter	5568
Acorus	2
Acrasis	1
Acrobeloides	1
Actaea	1
Actephila	1
Actinidia	4
Actinoallomurus	11
Actinobacillus	1502
Actinobaculum	13
Actinocorallia	10
Actinokineospora	1
Actinomadura	295
Actinomyces	5746
Actinoplanes	760
Actinosynnema	26724
Actinotalea	47
Acyrthosiphon	136
Adiantum	27
Adineta	19
Advenella	5
Aedes	254
Aegilops	2
Aeribacillus	3
Aerococcus	228
Aeromicrobium	5381
Aeromonas	3140
Aeropyrum	766
Afifella	7
Afipia	5795
Afrothismia	2
Agaricus	12
Agathis	1
Aggregatibacter	483
Aglaothamnion	2
Agrobacterium	17310
Agrococcus	2
Agromyces	22
Agrostis	1
Ahrensia	1405
Ailuropoda	192
Ajellomyces	381
Ajuga	2
Akashiwo	1
Akkermansia	2694
Albidiferax	8031
Albula	1
Alcaligenes	74
Alcanivorax	3081
Alcyonidium	1
Alexandrium	3
Algoriphagus	3417
Alicycliphilus	3473
Alicyclobacillus	5999
Aliivibrio	1069
Aliquandostipite	11
Alistipes	1383
Alkalilimnicola	6213
Alkalimonas	4
Alkaliphilus	4973
Allexis	1
Allium	1
Allochromatium	3378
Allomyces	12
Alnus	6
Aloe	1
Alphabaculovirus	1
Alternanthera	2
Alternaria	8
Alteromonas	1889
Amanita	1
Amaranthus	2
Amblyomma	3
Amborella	1
Ambrosia	1
Amia	1
Aminobacter	16
Aminobacterium	956
Aminomonas	967
Ammodytes	1
Ammonifex	4406
Ammopiptanthus	1
Amphibacillus	2
Amphidinium	3
Amphimedon	1
Amphipholis	1
Amphiporus	1
Ampullaria	1
Amycolatopsis	32605
Anabaena	19305
Anaerobaculum	1533
Anaerobranca	1
Anaerococcus	618
Anaerofustis	286
Anaerolinea	7795
Anaeromyxobacter	59289
Anaerostipes	426
Anaerotruncus	761
Ananas	1
Anaplasma	610
Anas	5
Ancylobacter	11
Ancylostoma	1
Andrographis	1
Androstachys	6
Anemia	1
Aneura	3
Aneurinibacillus	69
Angiopteris	6
Angiostrongylus	3
Anguilla	3
Anisakis	1
Anomochloa	1
Anopheles	605
Anoplopoma	4
Anoxybacillus	1910
Anser	7
Anterhynchium	1
Antheraea	1
Anthoceros	10
Anthocidaris	1
Anthopleura	2
Antigonia	1
Antirrhinum	1
Antonospora	4
Apha	1
Aphanius	1
Aphanizomenon	47
Aphanocladium	1
Aphanothece	1
Aphelenchoides	1
Aphelenchus	1
Aphis	1
Aphodius	1
Apis	189
Apium	1
Aplysia	6
Apodachlya	1
Apostichopus	1
Aptenodytes	1
Apteryx	4
Aquabacterium	7
Aquaspirillum	1
Aquifex	3786
Aquimarina	1
Aquincola	1
Arabidopsis	3016
Arachis	11
Arcanobacterium	601
Archaeoglobus	1919
Arcobacter	1000
Arenibacter	1
Argemone	1
Argiope	1
Argyrotaenia	1
Arhodomonas	4
Aristida	1
Aristolochia	3
Arnebia	2
Aromatoleum	10217
Arsenophonus	110
Artemia	1
Artemisia	2
Arthrobacter	34254
Arthroderma	306
Arthrospira	4414
Arundo	1
Arvicanthis	1
Asaia	8
Asaphomyia	1
Ascaris	16
Ascidia	1
Ascochloris	1
Ascophyllum	5
Ascotis	1
Ascovirus	1
Asfivirus	3
Asparagus	3
Aspergillus	2503
Aspidoscelis	1
Asplenium	1
Asterias	1
Asticcacaulis	2832
Astragalus	2
Asymmetron	1
Atopobium	1332
Atrina	1
Atriplex	4
Aurantimonas	6650
Aurelia	2
Aureobasidium	5
Aureococcus	3
Austrotinodes	1
Avena	2
Avibacterium	11
Avipoxvirus	1
Azoarcus	9300
Azohydromonas	13
Azomonas	1
Azorhizobium	11139
Azospira	5
Azospirillum	11563
Azotobacter	4943
Babesia	28
Babingtonia	1
Bacillus	51672
Bacteriovorax	1250
Bacteroides	17425
Bagliettoa	1
