SampleID	CPER_004-M-20130701
Abies	3
Abiotrophia	394
Abylopsis	1
Acanthamoeba	62
Acanthocardia	3
Acaryochloris	7901
Acetabularia	3
Acetivibrio	1501
Acetobacter	2355
Acetobacterium	7
Acetohalobium	2054
Achaeta	1
Achatina	1
Acheilognathus	1
Achlyodes	1
Achnanthes	1
Acholeplasma	286
Achromobacter	17038
Aciculosporium	3
Acidaminococcus	1870
Acidianus	1
Acidilobus	285
Acidimicrobium	10210
Acidiphilium	14024
Acidithiobacillus	5351
Acidithiomicrobium	14
Acidobacterium	43831
Acidomonas	1
Acidothermus	32754
Acidovorax	26046
Aciduliprofundum	581
Acinetobacter	7168
Acipenser	1
Acorus	3
Acramoeba	1
Acrasis	1
Acrophialophora	1
Acropora	1
Actaea	1
Actinidia	6
Actinoallomurus	7
Actinobacillus	1726
Actinobaculum	3
Actinocorallia	10
Actinokineospora	1
Actinomadura	307
Actinomyces	7684
Actinoplanes	1061
Actinopolyspora	1
Actinosynnema	44255
Actinotalea	2
Acyrthosiphon	203
Adiantum	12
Adineta	44
Advenella	10
Aedes	679
Aegiceras	1
Aegilops	3
Aeribacillus	2
Aerococcus	292
Aeromicrobium	9519
Aeromonas	4263
Aeropyrum	1722
Aethionema	4
Afifella	5
Afipia	8376
Afronothrus	1
Afrothismia	1
Agaricus	16
Agastache	1
Agave	1
Agelas	2
Aggregatibacter	528
Agrobacterium	21811
Agrocybe	1
Agromyces	11
Agrostis	1
Agrotis	1
Agrypnus	1
Ahrensia	1867
Aigialus	1
Ailuropoda	257
Ajellomyces	374
Akkermansia	3759
Albidiferax	11368
Alcaligenes	69
Alcanivorax	3521
Alcyonidium	1
Aldrovanda	1
Alectoris	1
Aleuroglyphus	2
Alexandrium	2
Algoriphagus	5230
Alicycliphilus	4765
Alicyclobacillus	8055
Aliivibrio	889
Alistipes	1703
Alkalilimnicola	8893
Alkalimonas	2
Alkaliphilus	6521
Alligator	1
Allium	2
Allochromatium	3663
Allomyces	7
Alloscardovia	1
Alnus	11
Alphabaculovirus	15
Alphalipothrixvirus	2
Alpharetrovirus	1
Alpheus	2
Altensteinia	1
Alternaria	9
Alteromonas	2367
Amalocichla	1
Amaranthus	2
Amblyomma	5
Amblysomus	1
Amborella	4
Ambrosia	1
Amia	1
Aminobacter	12
Aminobacterium	1277
Aminomonas	1437
Ammonifex	5163
Amomum	1
Amphidinium	4
Amphimedon	1
Amycolatopsis	52142
Amylostereum	1
Anabaena	24011
Anaerobacillus	1
Anaerobaculum	2156
Anaerobranca	2
Anaerococcus	730
Anaerofustis	357
Anaerolinea	11311
Anaeromyxobacter	77599
Anaerostipes	467
Anaerotruncus	1071
Analges	1
Anaplasma	621
Anas	3
Anastrepha	1
Ancylobacter	7
Anderseniella	1
Androctonus	1
Anemopsis	1
Aneura	2
Aneurinibacillus	36
Angiopteris	6
Anguilla	2
Anguis	1
Anomochloa	3
Anomoloma	2
Anomopus	1
Anopheles	913
Anoplopoma	9
Anoxybacillus	3112
Anser	1
Anseranas	1
Anterhynchium	1
Anthaenantia	1
Antheraea	10
Anthoceros	8
Anthopleura	7
Antirrhinum	3
Aphanizomenon	37
Aphanomyces	1
Aphanothece	5
Aphidius	1
Aphis	1
Aphodius	1
Apicotermitinae gen. H	1
Apis	295
Aplysia	10
Apodachlya	2
Apriona	2
Apterobittacus	1
Apteryx	1
Aptinoma	1
Aquabacterium	10
Aquamicrobium	1
Aquaspirillum	1
Aquifex	5339
Arabidopsis	3750
Arabis	1
Arachis	11
Araiostegia	1
Arcanobacterium	742
Archaeoglobus	2586
Architeuthis	1
Arcobacter	1060
Arenicola	1
Argas	2
Argylia	1
Aristolochia	1
Armillifer	1
Aromatoleum	13465
Arsenophonus	115
Artemia	4
Artemisia	2
Arthrobacter	48190
Arthroderma	319
Arthrospira	5090
Arundinaria	1
Asaia	3
Ascaris	9
Ascidia	2
Ascobolus	1
Ascophyllum	2
Ascoschoengastia	1
Asparagus	4
Aspergillus	3204
Asteroschema	1
Asticcacaulis	4323
Asymmetron	1
