SampleID	CPER_003-M-20140415
Abiotrophia	370
Acampsis	1
Acanella	1
Acanthamoeba	28
Acanthocardia	5
Acanthocyclops	3
Acanthoscurria	1
Acaryochloris	8655
Acetabularia	4
Acetivibrio	1566
Acetobacter	2038
Acetobacterium	3
Acetohalobium	2130
Acetonema	1
Achlya	2
Acholeplasma	354
Achromobacter	17230
Aciculosporium	1
Acidaminococcus	2060
Acidianus	7
Acidilobus	280
Acidimicrobium	11567
Acidiphilium	11757
Acidithiobacillus	5990
Acidithiomicrobium	5
Acidobacterium	44131
Acidocella	3
Acidomonas	2
Acidothermus	29149
Acidovorax	23881
Aciduliprofundum	665
Acinetobacter	7837
Acorus	2
Acrasis	2
Acrida	2
Acrobeloides	1
Acronicta	1
Actinidia	6
Actinoallomurus	4
Actinobacillus	1909
Actinobaculum	2
Actinocorallia	6
Actinokineospora	4
Actinomadura	311
Actinomyces	6471
Actinoplanes	747
Actinopolyspora	1
Actinosynnema	35993
Actinotalea	1
Actinotrichia	1
Acyrthosiphon	153
Adela	1
Adiantum	6
Adineta	50
Advenella	5
Aedes	597
Aegilops	9
Aeribacillus	2
Aeriscardovia	1
Aerococcus	264
Aeromicrobium	2626
Aeromonas	4469
Aeropyrum	1300
Aethionema	1
Afifella	13
Afipia	8229
Afrothismia	2
Agaricus	26
Agave	1
Aggregatibacter	581
Agreia	1
Agrobacterium	21491
Agromyces	19
Agropyron	1
Agrostis	4
Agrotis	3
Ahrensia	1744
Ailuropoda	191
Ajellomyces	379
Akkermansia	6293
Albidiferax	11463
Alcaligenes	101
Alcanivorax	4256
Alcyonidium	1
Aldrovandia	1
Alexandrium	2
Algoriphagus	5491
Alicycliphilus	4765
Alicyclobacillus	8349
Aliivibrio	1060
Alistipes	1841
Alkalilimnicola	7980
Alkalimonas	3
Alkaliphilus	6445
Allium	5
Allochromatium	4868
Allomyces	13
Alnus	8
Alphabaculovirus	11
Alphalipothrixvirus	4
Alpheus	1
Alternaria	10
Alteromonas	2835
Alyssum	1
Amaranthus	2
Amaryllis	1
Amblyomma	3
Amborella	3
Ambystoma	2
Ametastegia	1
Amia	1
Aminobacter	21
Aminobacterium	1378
Aminomonas	1499
Ammonifex	5752
Amomum	1
Ampelomyces	1
Amphibacillus	1
Amphidinium	3
Amphimedon	1
Ampullaria	1
Amycolatopsis	45902
Anabaena	26669
