SampleID	CPER_002-M-14-37-20140117
Bracovirus	2
Bracteacoccus	1
Bradyrhizobium	243129
Branchiostoma	1286
Brassica	87
Bremia	1
Brenneria	3
Brevibacillus	7301
Brevibacterium	6123
Brevundimonas	9881
Brimeura	1
Brochothrix	2
Bromheadia	2
Bromus	2
Brucella	10647
Bruchidius	1
Brugia	258
Bryopsis	7
Bryum	1
Buchloe	2
Buchnera	415
Buckleya	1
Buellia	1
Bulbine	3
Bulleidia	132
Bungarus	1
Bunostomum	1
Burkholderia	142676
Burmannia	1
Bursaphelenchus	4
Butyrivibrio	787
Buxus	3
Cadophora	1
Caenorhabditis	1754
Caesalpinia	1
Cafeteria	6
Calamorhynchus	1
Calathea	2
Caldanaerobacter	8988
Caldanaerobius	1
Caldibacillus	16
Caldicellulosiruptor	7683
Caldimonas	2
Calditerrivibrio	1865
Caldivirga	547
Caldococcus	1
Caligus	35
Callicebus	6
Callinectes	3
Calliphora	2
Callistephus	1
Callithamnion	2
Callithrix	5
Callorhinchus	1
Callyspongia	1
Caloramator	1
Calothrix	68
Calycanthus	1
Calycobolus	1
Calystegia	1
Cambarincola	2
Camellia	4
Camelus	1
Caminibacter	336
Camponotus	123
Camptotheca	5
Campylaephora	1
Campylobacter	2838
Canavalia	6
Cancer	1
Candida	252
Candidatus Accumulibacter	7352
Candidatus Amoebophilus	1132
Candidatus Aquiluna	1
Candidatus Azobacteroides	240
Candidatus Blochmannia	132
Candidatus Caldiarchaeum	87
Candidatus Carsonella	4
Candidatus Chloracidobacterium	2346
Candidatus Cloacamonas	710
Candidatus Curculioniphilus	1
Candidatus Desulforudis	6257
Candidatus Endobugula	6
Candidatus Fritschea	7
Candidatus Hamiltonella	167
Candidatus Hodgkinia	3
Candidatus Korarchaeum	823
Candidatus Koribacter	127365
Candidatus Kuenenia	5802
Candidatus Liberibacter	159
Candidatus Magnetobacterium	25
Candidatus Micrarchaeum	154
Candidatus Nitrosocaldus	3
Candidatus Odyssella	78
Candidatus Paenicardinium	1
Candidatus Parvarchaeum	105
Candidatus Pelagibacter	2144
Candidatus Phytoplasma	146
Candidatus Portiera	2
Candidatus Protochlamydia	2929
Candidatus Puniceispirillum	2268
Candidatus Regiella	119
Candidatus Riesia	24
Candidatus Solibacter	192680
Candidatus Sulcia	87
Candidatus Tremblaya	2
Candidatus Zinderia	5
Canis	625
Capnocytophaga	2035
Capnodium	4
Capra	4
Capraita	1
Capronia	3
Capsaspora	510
Capsella	4
Capsicum	21
Carabus	1
Caragana	3
Carangoides	1
Carapichea	1
Carapus	1
Carassius	9
Carbophilus	1
Carboxydothermus	9897
Carcharhinus	1
Cardiobacterium	855
Cardiochlamys	1
Carex	2
Carica	4
Carnobacterium	287
Carollia	1
Carpediemonas	1
Carpomitra	1
Carteria	1
Carukia	1
Castanea	1
Castellaniella	10
Casuarina	2
Catathelasma	1
Catenibacterium	335
Catenulispora	57131
Catenuloplanes	2
Catenulostroma	1
Catharanthus	14
Cathaya	1
Catonella	282
Caulerpa	1
Caulobacter	53808
Caulophryne	1
Cavia	11
Cedrus	2
Cellulomonas	11762
Cellulophaga	1687
Cellulosilyticum	707
